Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52601,132.80,ShEx Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services Overseas,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52602,38.45,ShEx Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52603,41.30,ShEx Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services Overseas,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52604,49.48,ShEx Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence Overseas,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52605,39.14,ShEx Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services Overseas,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52605,36.68,ShEx Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",52606,23.50,P&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",52607,1072.50,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",52608,15.75,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",52609,78.50,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Motor Vehicle Hire,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,3.00,ShEx Devolved Admin-Motor Vehicle Hire,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,1.75,ShEx Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,8.80,ShEx Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,8.90,ShEx Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,38.65,ShEx Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,Shareholder Executive - British Business Bank,"Personal Expense, Name Witheld",52610,28.78,ShEx Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2014,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,52618,123321.12,CiTA: England & Wales-Current Grants To Private Sector - NPISH,NE1 8AF,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",52620,233.18,BRDO: Competency-Rail Travel UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other IT Consultancy,Shareholder Executive - ED SME Finance Policy,THE DEXTROUS WEB LTD T/A DXW,52621,925.00,ShEx Devolved Admin-Other IT Consultancy,N1 7NG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Business Rates,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),52635,8498.50,E&S Devolved Admin-Business Rates,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),52635,4000.00,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Computer Equipment,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,52642,102445.20,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Computer Equipment,WC2E 9EZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Computer Equipment,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,52643,102445.20,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Computer Equipment,WC2E 9EZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,SOUTH TYNESIDE COUNCIL,52649,2459.52,F&C Devolved Admin-Other Relocation Costs,NE32 3DP,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,SOUTH TYNESIDE COUNCIL,52652,533.68,F&C Devolved Admin-Other Relocation Costs,NE32 3DP,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,CLSH MANAGEMENT LTD,52666,-229500.00,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,SW18 1SF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,CLSH MANAGEMENT LTD,52666,459000.00,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,SW18 1SF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52677,403.06,E&M Devolved Admin-Telecoms,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Trade Payable Transfers in/out of boundary,Economics & Markets - Consumer and Competition Policy,BARCLAYS BANK PLC T/A BARCLYCARD COMMERCIAL,52683,13749.16,Consumer Futures DEL-Trade Payable Transfers in/out of boundary,TS17 6YG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52684,2709.36,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,52685,1707.78,P&S Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Current Grants To Private Sector - NPISH,Business & Local Growth - Advanced Manufacturing Services,ROYAL ACADEMY OF ENGINEERING RAE,52686,13968.08,AMD: Aerospace Engineers MSc Bursaries-Current Grants To Private Sector - NPISH,SW1Y 5DG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Advertising,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,52687,1512.00,Corporate Presentation-Advertising,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Digital Economy Unit,CAPITA RESOURCING LTD,52688,2164.57,ShEx Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52689,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52690,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52691,2581.91,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52693,3028.14,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,52695,2709.36,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,52703,10246.50,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Recruitment Advice and Services,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,52707,367.28,BLG Devolved Admin-Recruitment Advice and Services,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,52718,904.92,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,PR & Marketing Advice & Services,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,52721,1325.00,P&S Devolved Admin-PR & Marketing Advice & Services,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,52724,2206.35,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,Shareholder Executive - ED SME Finance Policy,CAPITA BUSINESS SERVICES LTD,52729,6269.52,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,ADECCO UK LTD,52734,589.27,P&S Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,52736,959.12,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,52737,499.09,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
